"No.","Time","Source","Destination","Protocol","Length","Info"
"10749","40.026392281","134.224.67.86","192.168.1.44","UDP","1217","8801  >  57091 Len=1175"
"10753","40.038975692","134.224.67.86","192.168.1.44","UDP","1217","8801  >  57091 Len=1175"
"10754","40.039138545","134.224.67.86","192.168.1.44","UDP","1249","8801  >  57091 Len=1207"
"10755","40.046729172","134.224.67.86","192.168.1.44","UDP","1090","8801  >  57091 Len=1048"
"10756","40.046872346","134.224.67.86","192.168.1.44","UDP","1090","8801  >  57091 Len=1048"
"10757","40.048824192","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"10758","40.048859243","134.224.67.86","192.168.1.44","UDP","187","8801  >  53820 Len=145"
"10759","40.056337134","134.224.67.86","192.168.1.44","UDP","1090","8801  >  57091 Len=1048"
"10764","40.086526359","134.224.67.86","192.168.1.44","UDP","1089","8801  >  57091 Len=1047"
"10766","40.087584955","134.224.67.86","192.168.1.44","UDP","1089","8801  >  57091 Len=1047"
"10767","40.088870506","134.224.67.86","192.168.1.44","UDP","182","8801  >  53820 Len=140"
"10768","40.088903943","134.224.67.86","192.168.1.44","UDP","194","8801  >  53820 Len=152"
"10770","40.107566654","134.224.67.86","192.168.1.44","UDP","1178","8801  >  57091 Len=1136"
"10771","40.107728892","134.224.67.86","192.168.1.44","UDP","1178","8801  >  57091 Len=1136"
"10772","40.111555882","134.224.67.86","192.168.1.44","UDP","314","8801  >  53820 Len=272"
"10773","40.117748850","134.224.67.86","192.168.1.44","UDP","1178","8801  >  57091 Len=1136"
"10774","40.137745098","134.224.67.86","192.168.1.44","UDP","1178","8801  >  57091 Len=1136"
"10775","40.137896497","134.224.67.86","192.168.1.44","UDP","1178","8801  >  57091 Len=1136"
"10776","40.149311237","134.224.67.86","192.168.1.44","UDP","1178","8801  >  57091 Len=1136"
"10779","40.150656610","134.224.67.86","192.168.1.44","UDP","317","8801  >  53820 Len=275"
"10780","40.150699166","134.224.67.86","192.168.1.44","UDP","323","8801  >  53820 Len=281"
"10783","40.170887085","134.224.67.86","192.168.1.44","UDP","1177","8801  >  57091 Len=1135"
"10786","40.172917566","134.224.67.86","192.168.1.44","UDP","1209","8801  >  57091 Len=1167"
"10787","40.172964257","134.224.67.86","192.168.1.44","UDP","299","8801  >  53820 Len=257"
"10788","40.179379963","134.224.67.86","192.168.1.44","UDP","1262","8801  >  57091 Len=1220"
"10789","40.179551359","134.224.67.86","192.168.1.44","UDP","1262","8801  >  57091 Len=1220"
"10794","40.183500082","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
"10795","40.200042198","134.224.67.86","192.168.1.44","UDP","1262","8801  >  57091 Len=1220"
"10796","40.200209072","134.224.67.86","192.168.1.44","UDP","1262","8801  >  57091 Len=1220"
"10798","40.209959747","134.224.67.86","192.168.1.44","UDP","152","8801  >  53820 Len=110"
"10799","40.209986598","134.224.67.86","192.168.1.44","UDP","148","8801  >  53820 Len=106"
"10804","40.228955895","134.224.67.86","192.168.1.44","UDP","1267","8801  >  57091 Len=1225"
"10805","40.229132226","134.224.67.86","192.168.1.44","UDP","1266","8801  >  57091 Len=1224"
"10806","40.231460216","134.224.67.86","192.168.1.44","UDP","154","8801  >  53820 Len=112"
"10808","40.258891769","134.224.67.86","192.168.1.44","UDP","1266","8801  >  57091 Len=1224"
"10809","40.259061709","134.224.67.86","192.168.1.44","UDP","1266","8801  >  57091 Len=1224"
"10810","40.269135676","134.224.67.86","192.168.1.44","UDP","1266","8801  >  57091 Len=1224"
"10811","40.272745546","134.224.67.86","192.168.1.44","UDP","148","8801  >  53820 Len=106"
"10812","40.272773423","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"10818","40.310176449","134.224.67.86","192.168.1.44","UDP","1266","8801  >  57091 Len=1224"
"10819","40.310363274","134.224.67.86","192.168.1.44","UDP","1298","8801  >  57091 Len=1256"
"10825","40.345516182","134.224.67.86","192.168.1.44","UDP","106","8801  >  53820 Len=64"
"10826","40.350219336","134.224.67.86","192.168.1.44","UDP","1238","8801  >  57091 Len=1196"
"10827","40.350379761","134.224.67.86","192.168.1.44","UDP","1237","8801  >  57091 Len=1195"
"10828","40.360107078","134.224.67.86","192.168.1.44","UDP","1237","8801  >  57091 Len=1195"
"10830","40.360285584","134.224.67.86","192.168.1.44","UDP","1237","8801  >  57091 Len=1195"
